scorer,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310
bodyparts,toe,toe,toe,MTP,MTP,MTP,ankle,ankle,ankle,knee,knee,knee,hip,hip,hip,iliac_crest,iliac_crest,iliac_crest
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
22,1796.8429,188.58716,0.044196226,1791.228,176.34308,0.22757924,1784.8357,151.84494,0.6170801,1835.337,169.3226,0.33146888,1826.1993,112.42596,0.45192453,1855.8259,100.82797,0.22279577
23,1804.9509,185.20938,0.052769676,1793.2681,175.51747,0.22425522,1783.9373,151.5132,0.6306423,1837.083,169.40916,0.317036,1825.9558,112.013115,0.5474011,1854.8524,101.870445,0.21612807
24,1803.582,184.61414,0.05837462,1792.0262,174.91202,0.25982597,1783.322,150.6417,0.6709429,1836.049,168.76793,0.31841698,1825.8984,111.7918,0.5775723,1855.6339,100.53273,0.25565287
25,1811.2274,187.35956,0.053478252,1792.0698,174.2361,0.24125722,1783.4586,149.44054,0.68680227,1836.092,168.72543,0.26278877,1825.7772,111.868965,0.5273183,1856.8365,101.1739,0.2119533
26,1811.2946,186.13385,0.064296804,1792.6633,172.7083,0.26922086,1783.2052,148.63087,0.72992265,1836.2026,169.22447,0.28673092,1825.2092,112.834145,0.4958663,1855.7523,100.596664,0.21665052
27,1813.2078,186.73657,0.08240692,1793.2731,168.83694,0.26500523,1781.9628,148.33844,0.75377053,1835.5771,171.19597,0.34092832,1829.2726,113.82795,0.4819455,1856.4816,100.92151,0.15552807
28,1810.706,185.27887,0.081257135,1792.7515,169.13013,0.33824512,1782.4382,147.17772,0.76885784,1836.2645,166.69545,0.21058252,1825.7527,111.756454,0.45900026,1854.8877,100.39328,0.18891628
29,1810.6965,186.30334,0.082365565,1791.827,168.9704,0.28178972,1781.7719,146.90811,0.73755896,1840.255,168.23268,0.2902491,1826.8617,113.264465,0.5027308,1856.3918,100.11738,0.17959939
30,1810.0116,187.91092,0.099486634,1792.2837,172.43481,0.33561894,1781.6476,146.60233,0.75090647,1836.1581,169.63487,0.24262643,1826.4114,114.37505,0.5151538,1855.6016,101.01651,0.19056842
31,1810.724,187.56702,0.09486245,1790.789,169.57393,0.31563854,1781.3969,146.40395,0.7265909,1835.1758,169.07439,0.24103649,1825.5934,114.05063,0.5313584,1854.9512,101.17702,0.21457237
32,1803.9984,184.79152,0.08272557,1789.6118,169.8973,0.25183496,1781.7406,146.44615,0.65430486,1827.1392,167.01596,0.23437102,1826.8749,113.58652,0.55610085,1855.6428,101.484764,0.18989858
33,1804.4038,184.06488,0.056000367,1789.8461,162.70712,0.20782617,1782.0168,146.25394,0.6164721,1837.4949,171.24413,0.25671938,1828.3384,113.444984,0.5692571,1856.6284,101.1317,0.183176
34,1805.575,183.7701,0.078619584,1790.6559,169.00258,0.25255197,1782.0084,145.80173,0.6648737,1836.3296,170.72859,0.28567103,1826.0254,113.87838,0.5592646,1854.9722,101.08122,0.2009931
35,1804.8807,183.73276,0.09974419,1789.6355,163.31778,0.26223704,1781.7698,146.08961,0.62563956,1835.919,169.28629,0.2817275,1825.9614,113.767624,0.5377927,1856.1957,100.91322,0.17042004
36,1806.3553,183.67586,0.09432255,1791.3604,168.57552,0.27469242,1781.5135,145.59262,0.6962332,1834.5044,170.61795,0.30657226,1826.1812,114.18797,0.5191716,1855.8115,101.017204,0.17632182
37,1805.855,182.60509,0.08847522,1791.265,168.31102,0.23936203,1780.2501,146.31432,0.72814083,1840.8224,167.6066,0.22655348,1823.9563,111.76266,0.5544732,1853.7797,100.16287,0.2072859
38,1805.5109,182.66805,0.103531964,1791.9847,168.55939,0.29018283,1779.7192,145.95769,0.83230656,1840.5383,168.59091,0.2721849,1826.4457,113.39178,0.50155294,1855.1354,100.29753,0.18416989
39,1812.2882,186.12416,0.08965807,1791.722,168.59383,0.2945314,1779.8767,145.6108,0.8111944,1835.012,168.6327,0.29723278,1828.5521,111.984245,0.5291931,1857.1241,100.9065,0.16868472
40,1804.6282,183.68143,0.093860336,1790.852,169.01147,0.28987736,1779.8845,145.92606,0.8366568,1837.1287,169.34424,0.2552979,1828.6722,112.26949,0.5249716,1856.8975,101.39737,0.18229073
41,1811.0187,185.14107,0.092500985,1791.0537,168.57306,0.31606382,1780.4635,145.25883,0.7950723,1826.8693,164.44656,0.25281718,1826.7793,111.88912,0.52113485,1856.4263,100.83774,0.18032251
42,1811.1807,186.26941,0.08736858,1790.588,168.9329,0.26799607,1780.8021,145.5875,0.70272464,1835.5645,168.16454,0.2524138,1823.9646,109.58796,0.5573418,1854.7714,100.39136,0.21777457
43,1805.2843,182.85745,0.09072904,1790.3672,163.6383,0.2475694,1780.3846,145.16281,0.7363607,1836.4514,170.26558,0.32798415,1827.2205,112.78942,0.52482677,1855.342,101.15871,0.19080286
44,1806.3639,181.72029,0.075150385,1790.5518,163.06738,0.23337972,1780.296,145.52908,0.6913609,1828.1288,166.13107,0.3043824,1825.8685,113.27484,0.55853516,1855.2648,101.11193,0.1969612
45,1803.7756,182.14853,0.07807142,1790.138,168.4883,0.2829241,1779.8708,144.79842,0.75322896,1835.6472,167.76169,0.24431808,1825.431,111.37797,0.52868015,1855.025,100.56889,0.220669
46,1804.6537,183.65459,0.113069504,1789.8442,169.03566,0.24508044,1779.8231,144.91461,0.71376413,1834.7484,168.80733,0.33446643,1825.7109,112.87036,0.5607759,1855.2627,101.14645,0.20247297
47,1805.1299,182.84201,0.09719828,1790.7164,167.94049,0.31423873,1779.9238,144.2422,0.7086661,1826.5902,165.7201,0.2592597,1825.5132,113.21937,0.51005685,1855.1951,100.55999,0.16961516
48,1811.5316,184.14294,0.10177575,1792.4293,167.93587,0.3156436,1779.617,143.30551,0.75823116,1826.6952,163.58438,0.23387888,1824.5737,111.074646,0.472108,1854.3218,100.28311,0.19468151
49,1806.3723,183.41843,0.10409457,1789.6176,163.51218,0.20757833,1781.0365,144.13268,0.5457701,1835.6351,167.77281,0.24423072,1824.3729,111.458,0.5401241,1854.6765,100.98349,0.20780626
50,1806.4254,182.33652,0.10027072,1789.7314,163.21155,0.24706848,1780.688,143.46396,0.6414049,1826.6857,166.5688,0.24378015,1825.316,113.16294,0.48614106,1854.9729,100.87073,0.16336836
51,1812.8862,185.7751,0.094951764,1789.6658,162.9093,0.24876517,1781.1501,142.71935,0.578024,1826.2639,166.58475,0.2327113,1824.6545,113.23447,0.5024696,1854.969,100.72658,0.18402348
52,1812.7936,183.99387,0.04702366,1789.3525,162.29335,0.18763453,1780.7651,142.55296,0.5229714,1828.716,162.58533,0.14409421,1823.2083,108.87647,0.5555048,1855.4404,100.298225,0.20369771
53,1806.9407,180.46269,0.06488277,1789.2288,162.52684,0.14256287,1781.1859,142.17523,0.45585763,1828.2667,164.94188,0.1599216,1824.7957,112.84455,0.53350437,1855.5746,100.53451,0.17652057
54,1803.3229,182.14319,0.06269337,1788.304,164.41977,0.24482043,1780.2618,142.94022,0.5049287,1827.7227,162.88924,0.15943043,1822.556,108.952415,0.63913506,1853.3276,100.068726,0.24673517
55,1807.5028,179.672,0.071477234,1789.1329,162.69734,0.15172583,1779.8513,141.37065,0.4428552,1849.2528,156.26546,0.16374925,1823.1321,108.69133,0.56595534,1854.8044,99.977394,0.24059826
56,1806.1002,183.09938,0.052660037,1788.2709,162.12645,0.117612265,1780.7157,141.99207,0.32588348,1827.418,165.14038,0.13207696,1821.6368,117.18851,0.47000182,1853.3655,100.25882,0.18539521
57,1805.9844,181.08516,0.067662776,1787.9518,162.8928,0.14153075,1780.0005,141.6786,0.35530224,1842.4453,164.02133,0.15004712,1823.6995,113.223755,0.509826,1854.8132,100.63468,0.21428537
58,1804.6912,183.42273,0.046339605,1787.8799,162.909,0.1186061,1779.9933,141.81209,0.2983518,1842.9742,164.46373,0.1521613,1823.5062,112.16072,0.5471304,1854.6709,100.74371,0.21628425
59,1805.3123,180.42596,0.07136604,1788.0271,163.34453,0.14257452,1779.4651,141.47122,0.33471814,1828.1185,165.38869,0.1843338,1823.0872,110.12506,0.54722756,1855.0896,100.01537,0.22791564
